ScanNumber	ScanTypeName	ScanType	ScanTime
244	HMS	1	0.8782
245	HMS	1	0.8821
246	HMS	1	0.8859
247	HMS	1	0.8898
248	HMS	1	0.8936
249	HMS	1	0.8975
250	HMS	1	0.9013
251	HMS	1	0.9052
252	HMS	1	0.9090
253	HMS	1	0.9128
254	HMS	1	0.9167
255	HCD-HMSn	2	0.9178
256	HMS	1	0.9206
257	HMS	1	0.9249
258	HMS	1	0.9288
259	HMS	1	0.9327
260	HMS	1	0.9365
261	HMS	1	0.9403
262	HMS	1	0.9442
263	HMS	1	0.9480
264	HMS	1	0.9519
265	HMS	1	0.9557
266	HMS	1	0.9595
267	HMS	1	0.9634
268	HMS	1	0.9673
269	HMS	1	0.9711
270	HMS	1	0.9749
271	HMS	1	0.9788
272	HMS	1	0.9826
273	HMS	1	0.9865
274	HMS	1	0.9903
275	HMS	1	0.9942
276	HMS	1	0.9980
277	HMS	1	1.0019
278	HCD-HMSn	2	1.0030
279	HMS	1	1.0058
280	HMS	1	1.0101
281	HMS	1	1.0140
282	HMS	1	1.0178
283	HMS	1	1.0216
284	HMS	1	1.0255
285	HMS	1	1.0294
286	HMS	1	1.0332
287	HMS	1	1.0370
288	HMS	1	1.0409
289	HMS	1	1.0447
290	HMS	1	1.0486
291	HMS	1	1.0524
292	HMS	1	1.0562
293	HMS	1	1.0601
294	HMS	1	1.0640
295	HMS	1	1.0678
296	HMS	1	1.0716
297	HMS	1	1.0755
298	HMS	1	1.0793
299	HMS	1	1.0831
300	HMS	1	1.0870
301	HCD-HMSn	2	1.0881
302	HMS	1	1.0909
303	HMS	1	1.0953
304	HMS	1	1.0991
305	HMS	1	1.1030
306	HMS	1	1.1068
307	HMS	1	1.1106
308	HMS	1	1.1145
309	HMS	1	1.1183
310	HMS	1	1.1222
311	HMS	1	1.1260
312	HMS	1	1.1299
313	HMS	1	1.1337
314	HMS	1	1.1376
315	HMS	1	1.1414
316	HMS	1	1.1452
317	HMS	1	1.1491
318	HMS	1	1.1529
319	HMS	1	1.1567
320	HMS	1	1.1606
321	HMS	1	1.1645
322	HMS	1	1.1683
323	HMS	1	1.1722
324	HMS	1	1.1760
325	HCD-HMSn	2	1.1772
326	HMS	1	1.1798
327	HMS	1	1.1843
328	HMS	1	1.1881
329	HMS	1	1.1919
330	HMS	1	1.1958
331	HMS	1	1.1997
332	HMS	1	1.2035
333	HMS	1	1.2073
334	HMS	1	1.2112
335	HMS	1	1.2150
336	HMS	1	1.2189
337	HMS	1	1.2227
338	HMS	1	1.2266
339	HCD-HMSn	2	1.2278
340	HMS	1	1.2305
341	HMS	1	1.2349
342	HMS	1	1.2387
343	HMS	1	1.2426
344	HMS	1	1.2464
345	HMS	1	1.2502
346	HMS	1	1.2541
347	HMS	1	1.2579
348	HMS	1	1.2618
349	HMS	1	1.2656
350	HMS	1	1.2695
351	HMS	1	1.2733
352	HCD-HMSn	2	1.2745
353	HMS	1	1.2772
354	HMS	1	1.2816
355	HCD-HMSn	2	1.2827
356	HMS	1	1.2855
357	HMS	1	1.2898
358	HMS	1	1.2937
359	HMS	1	1.2976
360	HMS	1	1.3014
361	HMS	1	1.3052
362	HMS	1	1.3091
363	HCD-HMSn	2	1.3102
364	HMS	1	1.3130
365	HMS	1	1.3173
366	HMS	1	1.3212
367	HMS	1	1.3250
368	HMS	1	1.3289
369	HMS	1	1.3327
370	HMS	1	1.3366
371	HMS	1	1.3404
372	HMS	1	1.3443
373	HMS	1	1.3481
374	HCD-HMSn	2	1.3492
375	HMS	1	1.3520
376	HMS	1	1.3563
377	HMS	1	1.3602
378	HCD-HMSn	2	1.3614
379	HMS	1	1.3642
380	HMS	1	1.3685
381	HMS	1	1.3723
382	HMS	1	1.3762
383	HMS	1	1.3800
384	HMS	1	1.3838
385	HMS	1	1.3877
386	HMS	1	1.3915
387	HMS	1	1.3954
388	HMS	1	1.3992
389	HCD-HMSn	2	1.4004
390	HMS	1	1.4032
391	HCD-HMSn	2	1.4047
392	HMS	1	1.4075
393	HMS	1	1.4118
394	HMS	1	1.4157
395	HMS	1	1.4195
396	HCD-HMSn	2	1.4206
397	HMS	1	1.4234
398	HMS	1	1.4278
399	HMS	1	1.4317
400	HCD-HMSn	2	1.4328
401	HCD-HMSn	2	1.4351
402	HMS	1	1.4374
403	HCD-HMSn	2	1.4393
404	HMS	1	1.4420
405	HMS	1	1.4464
406	HMS	1	1.4502
407	HMS	1	1.4541
408	HMS	1	1.4579
409	HMS	1	1.4618
410	HMS	1	1.4656
411	HMS	1	1.4695
412	HMS	1	1.4733
413	HMS	1	1.4771
414	HMS	1	1.4810
415	HMS	1	1.4848
416	HMS	1	1.4887
417	HMS	1	1.4925
418	HMS	1	1.4973
419	HCD-HMSn	2	1.4985
420	HMS	1	1.5012
421	HMS	1	1.5056
422	HMS	1	1.5094
423	HMS	1	1.5133
424	HMS	1	1.5171
425	HMS	1	1.5209
426	HMS	1	1.5248
427	HMS	1	1.5287
428	HMS	1	1.5325
429	HMS	1	1.5363
430	HMS	1	1.5402
431	HMS	1	1.5440
432	HMS	1	1.5479
433	HMS	1	1.5517
434	HMS	1	1.5555
435	HMS	1	1.5594
436	HMS	1	1.5633
437	HMS	1	1.5671
438	HMS	1	1.5709
439	HMS	1	1.5748
440	HMS	1	1.5786
441	HMS	1	1.5825
442	HCD-HMSn	2	1.5836
443	HMS	1	1.5864
444	HCD-HMSn	2	1.5879
445	HMS	1	1.5907
446	HMS	1	1.5951
447	HMS	1	1.5989
448	HMS	1	1.6028
449	HMS	1	1.6066
450	HMS	1	1.6105
451	HMS	1	1.6143
452	HMS	1	1.6181
453	HMS	1	1.6220
454	HMS	1	1.6258
455	HMS	1	1.6297
456	HMS	1	1.6335
457	HMS	1	1.6374
458	HMS	1	1.6412
459	HMS	1	1.6451
460	HMS	1	1.6489
461	HMS	1	1.6527
462	HMS	1	1.6566
463	HMS	1	1.6605
464	HMS	1	1.6643
465	HMS	1	1.6681
466	HMS	1	1.6720
467	HMS	1	1.6758
468	HMS	1	1.6797
469	HMS	1	1.6835
470	HMS	1	1.6873
471	HMS	1	1.6912
472	HMS	1	1.6951
473	HMS	1	1.6989
474	HMS	1	1.7027
475	HMS	1	1.7066
476	HMS	1	1.7104
477	HCD-HMSn	2	1.7116
478	HMS	1	1.7143
479	HMS	1	1.7187
480	HMS	1	1.7225
481	HMS	1	1.7264
482	HMS	1	1.7302
483	HMS	1	1.7341
484	HCD-HMSn	2	1.7352
485	HMS	1	1.7380
486	HMS	1	1.7423
487	HMS	1	1.7462
488	HMS	1	1.7500
489	HMS	1	1.7539
490	HMS	1	1.7577
491	HMS	1	1.7616
492	HCD-HMSn	2	1.7627
493	HMS	1	1.7655
494	HMS	1	1.7699
495	HMS	1	1.7737
496	HMS	1	1.7775
497	HMS	1	1.7814
498	HMS	1	1.7852
499	HMS	1	1.7890
500	HMS	1	1.7929
501	HMS	1	1.7968
502	HMS	1	1.8006
503	HMS	1	1.8044
504	HMS	1	1.8083
505	HMS	1	1.8121
506	HMS	1	1.8160
507	HMS	1	1.8198
508	HMS	1	1.8236
509	HMS	1	1.8275
510	HMS	1	1.8313
511	HMS	1	1.8352
512	HMS	1	1.8390
513	HCD-HMSn	2	1.8402
514	HMS	1	1.8429
515	HMS	1	1.8473
516	HMS	1	1.8511
517	HMS	1	1.8549
518	HMS	1	1.8588
519	HMS	1	1.8627
520	HMS	1	1.8665
521	HMS	1	1.8704
522	HMS	1	1.8742
523	HMS	1	1.8780
524	HMS	1	1.8819
525	HCD-HMSn	2	1.8864
526	HMS	1	1.8891
527	HMS	1	1.8935
528	HMS	1	1.8974
529	HMS	1	1.9012
530	HMS	1	1.9050
531	HMS	1	1.9089
532	HMS	1	1.9127
533	HMS	1	1.9166
534	HMS	1	1.9204
535	HMS	1	1.9242
536	HMS	1	1.9281
537	HMS	1	1.9320
538	HMS	1	1.9358
539	HMS	1	1.9396
540	HMS	1	1.9435
541	HCD-HMSn	2	1.9446
542	HMS	1	1.9474
543	HMS	1	1.9518
544	HMS	1	1.9556
545	HMS	1	1.9594
546	HMS	1	1.9633
547	HMS	1	1.9672
548	HMS	1	1.9710
549	HMS	1	1.9748
550	HMS	1	1.9787
551	HMS	1	1.9825
552	HMS	1	1.9864
553	HMS	1	1.9902
554	HMS	1	1.9941
555	HMS	1	1.9979
556	HCD-HMSn	2	1.9991
557	HMS	1	2.0019
558	HMS	1	2.0062
559	HCD-HMSn	2	2.0073
560	HMS	1	2.0101
561	HMS	1	2.0145
562	HMS	1	2.0183
563	HMS	1	2.0221
564	HCD-HMSn	2	2.0233
565	HMS	1	2.0260
566	HMS	1	2.0303
567	HMS	1	2.0341
568	HCD-HMSn	2	2.0353
569	HMS	1	2.0380
570	HMS	1	2.0424
571	HMS	1	2.0462
572	HCD-HMSn	2	2.0474
573	HMS	1	2.0502
574	HMS	1	2.0545
575	HMS	1	2.0583
576	HCD-HMSn	2	2.0595
577	HMS	1	2.0623
578	HMS	1	2.0665
579	HMS	1	2.0703
580	HMS	1	2.0742
581	HMS	1	2.0780
582	HMS	1	2.0818
583	HMS	1	2.0857
584	HMS	1	2.0895
585	HMS	1	2.0934
586	HMS	1	2.0972
587	HCD-HMSn	2	2.0984
588	HMS	1	2.1012
589	HMS	1	2.1055
590	HMS	1	2.1094
591	HMS	1	2.1132
592	HMS	1	2.1170
593	HMS	1	2.1209
594	HMS	1	2.1247
595	HMS	1	2.1286
596	HMS	1	2.1324
597	HMS	1	2.1363
598	HMS	1	2.1401
599	HMS	1	2.1440
600	HCD-HMSn	2	2.1451
601	HMS	1	2.1479
602	HCD-HMSn	2	2.1494
603	HMS	1	2.1522
604	HMS	1	2.1565
605	HMS	1	2.1605
606	HMS	1	2.1643
607	HMS	1	2.1681
608	HMS	1	2.1720
609	HMS	1	2.1758
610	HMS	1	2.1797
611	HMS	1	2.1835
612	HMS	1	2.1873
613	HMS	1	2.1912
614	HMS	1	2.1951
615	HMS	1	2.1989
616	HMS	1	2.2027
617	HMS	1	2.2066
618	HMS	1	2.2104
619	HMS	1	2.2143
620	HMS	1	2.2181
621	HMS	1	2.2219
622	HMS	1	2.2258
623	HMS	1	2.2297
624	HMS	1	2.2335
625	HMS	1	2.2373
626	HMS	1	2.2412
627	HMS	1	2.2450
628	HMS	1	2.2488
629	HMS	1	2.2527
630	HMS	1	2.2565
631	HMS	1	2.2604
632	HMS	1	2.2642
633	HMS	1	2.2681
634	HMS	1	2.2719
635	HMS	1	2.2757
636	HMS	1	2.2796
637	HMS	1	2.2834
638	HMS	1	2.2873
639	HMS	1	2.2911
640	HMS	1	2.2950
641	HMS	1	2.2988
642	HMS	1	2.3027
643	HMS	1	2.3065
644	HCD-HMSn	2	2.3076
645	HMS	1	2.3104
646	HMS	1	2.3148
647	HMS	1	2.3186
648	HCD-HMSn	2	2.3197
649	HMS	1	2.3225
650	HMS	1	2.3269
651	HMS	1	2.3307
652	HMS	1	2.3346
653	HMS	1	2.3384
654	HMS	1	2.3423
655	HMS	1	2.3461
656	HMS	1	2.3499
657	HMS	1	2.3538
658	HMS	1	2.3576
659	HMS	1	2.3615
660	HMS	1	2.3654
661	HMS	1	2.3692
662	HMS	1	2.3730
663	HMS	1	2.3769
664	HMS	1	2.3807
665	HMS	1	2.3845
666	HMS	1	2.3884
667	HMS	1	2.3922
668	HMS	1	2.3961
669	HMS	1	2.3999
670	HMS	1	2.4038
671	HMS	1	2.4076
672	HMS	1	2.4114
673	HCD-HMSn	2	2.4126
674	HMS	1	2.4154
675	HMS	1	2.4197
676	HCD-HMSn	2	2.4208
677	HMS	1	2.4236
678	HMS	1	2.4280
679	HMS	1	2.4318
680	HMS	1	2.4357
681	HCD-HMSn	2	2.4368
682	HMS	1	2.4396
683	HMS	1	2.4440
684	HMS	1	2.4478
685	HMS	1	2.4516
686	HMS	1	2.4555
687	HMS	1	2.4593
688	HMS	1	2.4632
689	HMS	1	2.4670
690	HMS	1	2.4709
691	HMS	1	2.4747
692	HMS	1	2.4785
693	HMS	1	2.4824
694	HMS	1	2.4862
695	HMS	1	2.4901
696	HMS	1	2.4940
697	HMS	1	2.4978
698	HMS	1	2.5016
699	HMS	1	2.5055
700	HMS	1	2.5093
701	HMS	1	2.5132
702	HCD-HMSn	2	2.5143
703	HMS	1	2.5171
704	HMS	1	2.5214
705	HMS	1	2.5253
706	HMS	1	2.5342
707	HMS	1	2.5381
708	HMS	1	2.5419
709	HMS	1	2.5457
710	HMS	1	2.5496
711	HMS	1	2.5534
712	HMS	1	2.5573
713	HMS	1	2.5611
714	HMS	1	2.5650
715	HMS	1	2.5688
716	HMS	1	2.5727
717	HMS	1	2.5765
718	HCD-HMSn	2	2.5776
719	HMS	1	2.5804
720	HMS	1	2.5848
721	HMS	1	2.5886
722	HMS	1	2.5924
723	HMS	1	2.5963
724	HMS	1	2.6002
725	HMS	1	2.6040
726	HMS	1	2.6078
727	HMS	1	2.6117
728	HMS	1	2.6155
729	HMS	1	2.6194
730	HMS	1	2.6232
731	HMS	1	2.6271
732	HMS	1	2.6309
733	HMS	1	2.6348
734	HMS	1	2.6386
735	HMS	1	2.6424
736	HMS	1	2.6463
737	HMS	1	2.6501
738	HMS	1	2.6540
739	HMS	1	2.6578
740	HMS	1	2.6617
741	HMS	1	2.6655
742	HMS	1	2.6694
743	HMS	1	2.6732
744	HCD-HMSn	2	2.6743
745	HMS	1	2.6771
746	HMS	1	2.6815
747	HMS	1	2.6853
748	HMS	1	2.6891
749	HMS	1	2.6930
750	HMS	1	2.6969
751	HMS	1	2.7007
752	HMS	1	2.7045
753	HMS	1	2.7084
754	HMS	1	2.7122
755	HMS	1	2.7161
756	HMS	1	2.7199
757	HMS	1	2.7237
758	HMS	1	2.7276
759	HMS	1	2.7315
760	HMS	1	2.7353
761	HMS	1	2.7391
762	HMS	1	2.7430
763	HMS	1	2.7468
764	HMS	1	2.7507
765	HMS	1	2.7545
766	HMS	1	2.7584
767	HMS	1	2.7623
768	HMS	1	2.7661
769	HMS	1	2.7699
770	HMS	1	2.7738
771	HMS	1	2.7776
772	HMS	1	2.7814
773	HMS	1	2.7853
774	HMS	1	2.7891
775	HMS	1	2.7930
776	HMS	1	2.7968
777	HMS	1	2.8007
778	HMS	1	2.8045
779	HMS	1	2.8084
780	HMS	1	2.8122
781	HMS	1	2.8160
782	HMS	1	2.8199
783	HMS	1	2.8237
784	HMS	1	2.8276
785	HMS	1	2.8314
786	HMS	1	2.8353
787	HMS	1	2.8391
788	HMS	1	2.8430
789	HMS	1	2.8468
790	HCD-HMSn	2	2.8479
791	HMS	1	2.8507
792	HMS	1	2.8551
793	HMS	1	2.8589
794	HMS	1	2.8628
795	HMS	1	2.8666
796	HMS	1	2.8705
797	HCD-HMSn	2	2.8716
798	HMS	1	2.8744
799	HMS	1	2.8787
800	HMS	1	2.8826
801	HCD-HMSn	2	2.8837
802	HMS	1	2.8865
803	HMS	1	2.8908
804	HMS	1	2.8947
805	HMS	1	2.8986
806	HMS	1	2.9024
807	HMS	1	2.9062
808	HMS	1	2.9101
809	HMS	1	2.9139
810	HMS	1	2.9178
811	HMS	1	2.9216
812	HMS	1	2.9255
813	HMS	1	2.9293
814	HMS	1	2.9332
815	HMS	1	2.9370
816	HMS	1	2.9409
817	HMS	1	2.9447
818	HMS	1	2.9485
819	HMS	1	2.9524
820	HMS	1	2.9562
821	HMS	1	2.9601
822	HMS	1	2.9639
823	HMS	1	2.9678
824	HMS	1	2.9716
825	HMS	1	2.9755
826	HMS	1	2.9793
827	HMS	1	2.9831
828	HMS	1	2.9870
829	HMS	1	2.9908
830	HMS	1	2.9947
831	HMS	1	2.9986
832	HMS	1	3.0024
833	HMS	1	3.0062
834	HMS	1	3.0101
835	HMS	1	3.0139
836	HMS	1	3.0177
837	HMS	1	3.0216
838	HMS	1	3.0254
839	HMS	1	3.0293
840	HMS	1	3.0332
841	HMS	1	3.0370
842	HMS	1	3.0408
843	HMS	1	3.0447
844	HMS	1	3.0485
845	HCD-HMSn	2	3.0497
846	HCD-HMSn	2	3.0520
847	HMS	1	3.0542
848	HMS	1	3.0589
849	HMS	1	3.0628
850	HMS	1	3.0666
851	HMS	1	3.0704
852	HMS	1	3.0743
853	HMS	1	3.0781
854	HMS	1	3.0819
855	HMS	1	3.0858
856	HCD-HMSn	2	3.0869
857	HMS	1	3.0897
858	HMS	1	3.0941
859	HMS	1	3.0979
860	HMS	1	3.1018
861	HMS	1	3.1056
862	HMS	1	3.1095
863	HMS	1	3.1133
864	HMS	1	3.1171
865	HMS	1	3.1210
866	HMS	1	3.1248
867	HMS	1	3.1287
868	HMS	1	3.1325
869	HMS	1	3.1364
870	HMS	1	3.1402
871	HMS	1	3.1441
872	HMS	1	3.1479
873	HMS	1	3.1517
874	HMS	1	3.1556
875	HMS	1	3.1594
876	HMS	1	3.1633
877	HMS	1	3.1671
878	HMS	1	3.1710
879	HMS	1	3.1748
880	HMS	1	3.1787
881	HMS	1	3.1825
882	HMS	1	3.1863
883	HMS	1	3.1902
884	HMS	1	3.1941
885	HMS	1	3.1979
886	HMS	1	3.2018
887	HMS	1	3.2056
888	HMS	1	3.2094
889	HMS	1	3.2133
890	HMS	1	3.2171
891	HMS	1	3.2210
892	HMS	1	3.2248
893	HMS	1	3.2287
894	HMS	1	3.2325
895	HMS	1	3.2364
896	HMS	1	3.2402
897	HMS	1	3.2440
898	HMS	1	3.2479
899	HMS	1	3.2517
900	HMS	1	3.2555
901	HCD-HMSn	2	3.2567
902	HMS	1	3.2595
903	HMS	1	3.2637
904	HMS	1	3.2675
905	HMS	1	3.2714
906	HMS	1	3.2752
907	HMS	1	3.2790
908	HMS	1	3.2829
909	HMS	1	3.2867
910	HMS	1	3.2906
911	HMS	1	3.2945
912	HMS	1	3.2983
913	HMS	1	3.3021
914	HMS	1	3.3060
915	HMS	1	3.3098
916	HMS	1	3.3136
917	HMS	1	3.3175
918	HMS	1	3.3213
919	HMS	1	3.3252
920	HCD-HMSn	2	3.3263
921	HMS	1	3.3291
922	HMS	1	3.3334
923	HMS	1	3.3373
924	HMS	1	3.3411
925	HMS	1	3.3450
926	HMS	1	3.3488
927	HMS	1	3.3526
928	HMS	1	3.3565
929	HMS	1	3.3604
930	HMS	1	3.3642
931	HMS	1	3.3680
932	HMS	1	3.3719
933	HMS	1	3.3757
934	HMS	1	3.3795
935	HMS	1	3.3834
936	HMS	1	3.3872
937	HMS	1	3.3911
938	HMS	1	3.4010
939	HCD-HMSn	2	3.4021
940	HMS	1	3.4049
941	HMS	1	3.4092
942	HMS	1	3.4131
943	HMS	1	3.4169
944	HMS	1	3.4207
945	HMS	1	3.4246
946	HMS	1	3.4285
947	HMS	1	3.4323
948	HMS	1	3.4361
949	HMS	1	3.4400
950	HMS	1	3.4438
951	HMS	1	3.4477
952	HMS	1	3.4515
953	HMS	1	3.4553
954	HMS	1	3.4592
955	HCD-HMSn	2	3.4604
956	HMS	1	3.4631
957	HMS	1	3.4675
958	HMS	1	3.4713
959	HMS	1	3.4752
960	HMS	1	3.4790
961	HMS	1	3.4828
962	HMS	1	3.4867
963	HCD-HMSn	2	3.4878
964	HMS	1	3.4906
965	HCD-HMSn	2	3.4921
966	HMS	1	3.4950
967	HMS	1	3.4991
968	HMS	1	3.5030
969	HMS	1	3.5068
970	HMS	1	3.5107
971	HMS	1	3.5145
972	HMS	1	3.5183
973	HMS	1	3.5222
974	HMS	1	3.5260
975	HMS	1	3.5299
976	HCD-HMSn	2	3.5311
977	HMS	1	3.5338
978	HMS	1	3.5382
979	HCD-HMSn	2	3.5393
980	HMS	1	3.5421
981	HCD-HMSn	2	3.5437
982	HMS	1	3.5464
983	HCD-HMSn	2	3.5480
984	HMS	1	3.5508
985	HMS	1	3.5551
986	HMS	1	3.5589
987	HMS	1	3.5628
988	HMS	1	3.5667
989	HMS	1	3.5705
990	HMS	1	3.5743
991	HMS	1	3.5782
992	HMS	1	3.5820
993	HMS	1	3.5858
994	HMS	1	3.5897
995	HMS	1	3.5936
996	HMS	1	3.5974
997	HMS	1	3.6012
998	HMS	1	3.6051
999	HMS	1	3.6089
1000	HMS	1	3.6128
1001	HCD-HMSn	2	3.6139
1002	HMS	1	3.6167
1003	HMS	1	3.6210
1004	HMS	1	3.6249
1005	HMS	1	3.6288
1006	HMS	1	3.6326
1007	HMS	1	3.6364
1008	HCD-HMSn	2	3.6376
1009	HMS	1	3.6404
1010	HMS	1	3.6447
1011	HMS	1	3.6485
1012	HMS	1	3.6524
1013	HMS	1	3.6562
1014	HMS	1	3.6601
1015	HMS	1	3.6639
1016	HMS	1	3.6678
1017	HMS	1	3.6716
1018	HMS	1	3.6754
1019	HMS	1	3.6793
1020	HMS	1	3.6831
1021	HMS	1	3.6869
1022	HMS	1	3.6908
1023	HMS	1	3.6947
1024	HMS	1	3.6985
1025	HMS	1	3.7024
1026	HMS	1	3.7062
1027	HMS	1	3.7101
1028	HCD-HMSn	2	3.7112
1029	HMS	1	3.7140
1030	HMS	1	3.7183
1031	HMS	1	3.7221
1032	HMS	1	3.7260
1033	HMS	1	3.7299
1034	HMS	1	3.7337
1035	HMS	1	3.7375
1036	HMS	1	3.7414
1037	HMS	1	3.7452
1038	HMS	1	3.7491
