Scan_Group_ID	Charge	Scan
154	2	5891
155	2	5326
156	3	7348
157	2	6523
158	2	6227
159	2	5271
160	2	6128
161	2	3788
162	2	6908
163	2	6267
164	2	6796
165	2	3008
166	2	7644
167	4	8051
168	4	6020
169	3	6268
170	3	5854
171	2	6203
172	3	8034
173	3	7851
174	2	5016
175	3	6175
176	2	6200
177	3	6390
177	3	6392
178	2	3154
179	2	6680
180	3	2842
180	3	2843
181	2	3163
182	2	2722
183	2	5838
184	2	5323
185	2	5328
186	2	5678
187	2	7686
188	3	6426
189	2	1490
190	2	6346
191	2	6436
192	2	2828
193	2	5063
194	3	5712
195	2	6955
196	2	2271
197	3	6230
198	2	4854
199	2	4532
200	3	2211
201	2	1148
202	3	5140
203	3	4976
204	2	6638
205	2	5282
206	2	6875
207	2	6447
208	2	2744
209	2	3802
210	3	6186
211	3	6558
212	3	6694
213	2	5900
214	3	7890
215	2	4938
216	3	6574
216	3	6575
217	2	7871
218	3	3350
219	2	6851
220	2	4979
221	2	4926
222	3	7604
223	2	6607
224	2	3244
225	2	5142
226	2	1890
227	2	5234
228	2	1982
229	3	7699
230	2	4340
231	3	5784
232	2	7752
233	3	6136
234	4	5270
235	2	6679
236	2	3678
237	2	1826
238	2	3998
239	2	5390
240	2	3990
241	2	5430
242	2	6314
243	2	5936
244	3	5358
244	3	5359
245	2	5603
246	2	5176
247	3	7663
247	3	7664
248	3	4386
249	2	7123
250	3	4688
251	2	6140
252	2	7054
253	2	1428
254	3	5763
255	3	5042
256	2	7346
256	2	7347
257	2	6408
258	2	7451
259	3	3658
260	2	6194
260	2	6195
261	2	4059
262	3	7492
263	2	5960
264	2	5523
265	3	6488
265	3	6495
266	2	8100
267	2	6956
268	2	6543
269	3	6271
270	3	3963
271	2	7676
272	2	4772
273	2	7759
274	4	8063
275	2	2703
276	2	4764
277	3	7150
278	2	5842
279	2	2892
280	2	8064
281	3	7732
282	3	3568
283	2	6047
284	2	6191
285	2	7688
286	2	7712
287	3	6116
288	2	1270
289	2	3768
290	2	6158
291	4	7555
292	2	4706
293	4	7730
294	2	7454
295	2	3630
296	3	7738
296	3	7740
297	2	1344
298	1	4559
299	2	3532
300	2	2223
301	2	7846
302	3	6307
303	2	6876
304	3	8182
305	2	5515
306	2	7792
307	2	1579
308	2	1592
309	3	6756
310	2	3063
311	2	7387
312	3	6631
313	2	7627
314	3	5506
315	2	2376
316	2	6826
317	3	8098
317	3	8099
318	2	2719
319	2	6344
320	2	4328
321	2	6428
322	2	6898
323	3	6818
323	3	6819
324	2	3402
325	4	5046
326	4	5964
327	3	4896
328	2	7583
329	2	1888
330	2	3130
330	2	3131
331	2	4755
332	2	3859
333	2	5794
334	3	5220
335	4	5955
336	2	7502
337	2	2410
338	1	4270
338	1	4271
339	3	7075
340	2	4518
341	2	6242
342	2	1444
343	2	6700
344	2	7471
345	2	3592
346	2	6702
347	2	6391
348	3	5843
349	2	3615
350	3	5788
351	2	4314
352	2	5230
353	2	4942
354	2	4734
355	2	4354
356	4	6238
357	2	6650
357	2	6651
358	3	1512
359	3	3974
360	2	6850
361	2	5626
362	2	5052
363	3	7014
364	2	5235
364	2	5236
365	2	6379
366	3	4730
367	2	5111
368	2	6170
369	3	7720
370	2	6190
371	2	3315
372	2	5786
373	2	1103
374	2	2634
375	3	5006
376	3	3280
377	2	7556
378	2	3143
379	2	7435
380	3	5190
380	3	5191
381	2	5586
382	2	7559
383	2	3828
384	2	3551
385	2	4863
386	3	6595
387	2	5836
388	2	7551
389	2	6014
390	1	4331
391	3	6834
392	2	7127
393	4	7512
394	2	6655
395	2	5079
396	2	6846
397	2	3634
398	2	6304
399	1	5228
400	2	4339
401	3	4202
402	3	7012
403	2	5780
404	3	3987
405	2	3448
406	3	5642
407	2	5480
408	2	3595
409	2	5947
410	3	7084
411	2	7716
412	3	8110
413	3	7810
414	3	5486
415	3	7962
415	3	7963
416	2	1576
417	3	8111
418	2	6246
419	2	2692
420	3	6798
420	3	6799
421	4	7807
422	2	3699
423	2	4595
424	2	6746
425	2	4516
426	2	5740
427	2	4715
428	2	1596
429	2	4598
430	3	5258
431	3	5944
432	2	7223
433	2	7558
434	2	2982
435	2	4594
436	2	3600
437	2	6323
438	2	4570
439	2	5558
440	3	4650
441	2	7138
441	2	7139
442	1	3502
442	1	3504
443	2	5996
444	2	2963
445	3	5356
446	3	7384
447	2	5778
448	2	3642
449	3	6292
450	2	3410
451	3	2979
452	3	4588
453	2	2806
454	2	5108
455	2	2258
456	2	2442
457	3	6383
458	3	4686
459	2	7706
459	2	7860
460	2	5888
461	2	7468
462	3	7562
463	2	3511
464	2	3250
465	3	6226
466	2	2940
467	2	3748
468	3	2696
469	3	7412
470	3	5835
471	2	4906
472	4	7668
473	2	2742
474	2	2059
475	2	3298
476	2	6910
477	3	5115
478	3	3720
479	3	7095
480	2	5423
481	2	5775
482	2	2544
483	2	4159
484	2	6010
485	3	7662
485	3	7814
485	3	8258
485	3	8260
486	3	4750
487	2	4948
488	3	3927
489	2	6236
490	4	8002
491	2	4440
492	2	1822
493	3	4324
494	2	6964
495	2	4204
496	2	5306
497	2	2867
498	2	4148
499	2	4415
500	3	7847
501	3	7478
502	2	5648
503	2	3190
504	3	6588
505	3	5494
506	2	2091
507	3	6198
508	3	2538
509	3	4762
510	2	6914
511	3	1706
511	3	1707
512	2	5012
513	4	3966
514	2	6490
515	2	6380
516	2	6030
517	2	5216
518	2	5982
519	2	4478
520	2	5130
521	3	5408
522	3	6362
522	3	6363
523	2	3324
524	3	6904
525	3	6743
526	3	6580
527	2	5343
528	2	5162
528	2	5163
529	2	5071
530	2	8347
531	1	2670
532	2	2946
533	4	6830
534	3	7523
535	2	5542
536	2	6306
537	2	4587
538	2	3579
539	3	5602
540	2	3803
541	3	5018
541	3	5020
542	2	1723
543	2	6251
544	2	1247
545	2	4596
546	2	4043
547	2	3983
548	2	2022
549	3	2630
550	2	2456
551	2	3230
552	2	3751
553	2	2886
554	2	1827
555	2	6016
556	2	2955
557	2	6738
558	2	2392
559	2	1566
560	2	6992
561	2	7106
562	2	1968
563	2	3895
564	2	7919
565	2	2530
566	2	6040
567	2	7799
568	2	4920
569	3	5475
570	3	8072
571	2	2659
572	4	7006
573	2	6496
574	2	6082
575	3	6331
576	3	5552
577	2	3380
578	2	2608
579	2	5946
580	3	7122
581	2	2543
582	2	6502
583	2	6618
584	2	1352
585	2	4334
585	2	4335
586	2	4292
587	2	3475
588	3	6927
589	2	2532
590	2	6159
591	3	5584
592	2	2590
593	3	7298
594	2	2863
595	2	3580
596	2	6602
597	3	4778
598	3	6274
599	3	5362
600	2	4527
601	1	2375
602	2	4652
603	2	2791
604	3	5183
605	2	3555
606	2	6954
607	3	6371
608	3	5590
609	3	6782
610	2	5318
611	2	4771
612	2	2076
613	2	2190
614	2	6526
615	4	5828
616	2	5546
617	3	6598
618	1	6868
619	2	6907
620	2	6218
621	2	3194
622	2	4634
623	3	6822
624	2	4844
625	2	2794
626	2	6620
627	3	5399
628	3	5300
629	3	7572
630	4	7396
631	3	8030
632	1	3886
633	3	7236
634	2	7390
635	1	1836
636	2	5448
637	2	7715
638	2	6546
639	2	4922
640	3	6398
640	3	6400
641	4	6527
642	2	7162
643	2	3704
644	2	8203
645	4	7386
646	2	4994
647	2	1970
648	2	2586
649	2	3235
650	2	4514
651	2	4672
652	4	5514
653	2	6418
654	2	3531
655	2	4622
656	2	4756
657	2	2306
658	2	3092
659	2	8158
660	2	2432
661	3	7883
662	2	3728
663	3	7092
664	2	2887
665	1	2279
666	4	7004
667	1	4088
668	2	7726
669	2	3536
670	2	3919
671	2	4350
672	2	5107
673	3	3446
674	2	3995
675	2	4808
676	2	4472
677	3	7124
678	3	2880
679	2	5123
680	2	2315
681	2	3270
681	2	3271
682	4	7914
682	4	8062
683	2	2836
684	2	4462
685	2	2339
686	3	7147
687	2	4859
688	3	6794
689	2	4372
690	3	7066
691	3	6731
692	2	7594
693	2	3930
694	2	7684
695	4	7043
696	2	3232
697	2	7312
698	2	5010
698	2	5011
699	3	7702
700	2	6087
701	3	7498
702	2	3506
703	3	6187
704	2	7708
705	2	3451
706	2	6686
707	2	3007
708	3	7128
709	3	5314
710	2	7719
711	2	7439
712	3	5598
713	3	7695
714	2	2736
715	3	3482
716	2	3439
717	2	6412
718	3	4682
719	2	3050
720	3	7946
721	2	4078
722	2	7436
723	2	2923
724	2	2774
725	3	5907
726	2	2931
727	2	6431
728	2	3596
729	2	5886
730	3	7179
731	3	6979
732	3	5822
732	3	5823
733	2	4727
734	3	4618
735	2	3666
736	2	6510
737	2	5948
738	3	4394
739	2	3771
740	2	4466
740	2	4467
741	2	1398
742	2	3896
743	2	7711
744	2	2626
745	2	3319
746	3	7112
747	2	5926
748	3	1558
749	2	7200
750	2	3651
751	2	6399
752	2	2710
753	2	7142
754	1	3332
755	2	5438
756	2	2502
756	2	2503
757	2	6646
758	2	4675
759	2	7134
760	2	2646
761	2	1614
762	3	6751
763	2	5492
764	2	4206
765	3	4907
766	2	4203
767	2	5816
768	2	1395
769	2	7334
770	4	6858
771	2	1679
772	2	2588
773	2	7524
774	2	3954
775	4	6182
776	2	6987
777	2	1264
778	2	7724
779	2	4511
780	2	8080
781	2	1658
782	3	7155
783	3	7192
784	3	5502
784	3	5503
785	2	2139
786	2	4230
787	2	5004
788	2	2363
789	2	3662
790	3	5986
791	2	4036
792	2	5918
793	2	1188
794	2	2338
795	4	7578
796	2	3042
797	2	7854
798	3	5378
799	2	4263
800	3	3088
801	2	7855
802	2	4178
803	2	3850
804	2	2480
805	3	4214
806	2	6687
807	4	6634
808	3	7576
809	2	7598
810	2	3480
811	3	7455
812	3	7723
813	2	2255
814	3	4760
815	2	7423
816	2	5279
817	1	1587
818	2	6022
819	3	3951
820	2	5566
821	2	4072
822	2	4420
823	3	3711
824	2	6519
825	3	6628
826	2	6171
827	2	1342
828	4	7806
829	1	1652
830	3	7984
831	2	7239
832	2	5496
833	2	5440
834	2	3355
835	3	6039
836	2	5610
837	3	7228
838	2	4639
839	3	7388
840	2	4858
841	2	1947
842	2	4751
843	1	3040
844	2	6026
844	2	6027
845	2	2707
846	3	8142
847	2	2202
848	3	2934
849	4	7786
850	2	5544
851	3	7244
852	2	4978
853	2	4090
854	2	4558
855	2	3094
856	2	3060
857	1	2231
858	2	4050
859	2	2330
860	2	5774
861	4	6071
862	2	5871
863	2	3683
864	2	6174
865	2	4326
866	2	4070
867	2	4058
868	2	7774
869	2	3168
870	2	1808
871	2	2932
872	2	2959
873	2	7007
874	2	2355
875	2	4932
876	2	5215
877	3	6484
878	2	5462
879	2	7178
880	2	5463
881	4	4543
882	3	5943
883	2	7735
884	2	3356
885	3	7990
886	2	4636
887	2	4822
888	2	1584
889	3	5756
890	3	5735
891	2	2407
892	3	7230
893	2	2282
894	2	5432
895	2	2196
896	2	6466
897	2	4250
898	1	1630
899	2	6348
900	2	6415
901	2	3310
902	2	5198
903	3	7987
904	2	4322
905	3	7067
906	2	7866
907	3	7850
908	2	2403
909	2	2003
910	3	5634
911	2	6614
912	2	4439
913	2	5055
914	2	5799
915	2	1904
916	4	5718
917	2	5316
918	3	7755
919	1	3043
920	2	5307
921	2	4338
922	1	5019
923	3	5915
924	3	7302
924	3	7304
925	4	6204
926	2	4856
927	2	1760
928	2	7362
929	2	1100
930	2	2563
931	2	7220
932	4	5470
933	2	6576
934	3	2458
935	2	6704
936	2	4312
937	2	1262
938	3	7570
939	2	7930
940	2	4020
941	2	5036
942	2	6382
943	2	5078
944	2	2158
945	3	7314
946	3	7376
947	3	5067
948	2	3364
949	3	6214
950	2	3004
951	3	7834
952	2	5122
953	2	4054
954	3	6091
955	2	3326
956	1	1528
957	3	6538
958	2	2094
959	3	2526
960	1	3879
961	2	7104
962	1	1971
963	3	5832
964	2	6351
965	3	7687
966	2	5200
967	2	4003
968	3	7823
968	3	7838
969	2	4676
970	1	3262
971	1	5131
972	2	4540
973	2	7975
973	2	7976
974	3	6754
974	3	6764
975	2	5204
976	1	4975
977	2	7667
978	2	4763
979	2	7372
980	3	6544
981	4	6250
982	4	4894
983	2	6514
984	4	6439
985	2	1927
986	2	6776
987	2	7428
988	1	2492
989	3	4700
990	2	2278
991	1	2090
992	2	7159
993	2	1708
994	2	4855
995	4	6532
996	2	3680
997	2	7936
998	4	6636
999	2	3714
999	2	3715
1000	2	5802
1001	2	2474
1002	3	7028
1003	4	7308
1004	2	4032
1005	2	4416
1006	3	3118
1007	2	6074
1008	2	3540
1009	3	1699
1010	2	6152
1011	2	8159
1012	2	3960
1013	2	3827
1014	2	2488
1015	2	1991
1016	2	2452
1017	2	2522
1018	2	1704
1019	1	7163
1020	2	6803
1021	2	6920
1022	3	6008
1023	3	6296
1024	4	5563
1025	2	4174
1026	2	6050
1027	3	7794
1028	3	2460
1029	1	1812
1030	2	2204
1031	2	2964
1032	2	5826
1033	2	4168
1034	3	5511
1035	3	5000
1036	2	1764
1037	2	3342
1038	2	2404
1039	2	4508
1040	4	4216
1041	2	5298
1042	2	4862
1043	2	6983
1044	1	3607
1045	3	6916
1046	3	6950
1047	3	5759
1048	2	4387
1049	3	6658
1050	3	1560
1051	2	5167
1052	2	6691
1053	2	5507
1054	2	4987
1055	4	7584
1056	3	4818
1056	3	4819
1057	2	4468
1058	4	2980
1059	1	4986
1060	2	4207
1061	2	3283
1062	2	7116
1063	2	3028
1064	2	2942
1065	2	3219
1066	1	1420
1067	2	3722
1068	3	7948
1069	1	6012
1070	2	4683
1071	2	6750
1072	2	3962
1073	2	3382
1074	2	4754
1075	2	3158
1076	2	6234
1077	3	6586
1078	2	4864
1079	2	1362
1080	2	1670
1081	1	6862
1082	2	4330
1083	2	6946
1084	2	1463
1085	2	5896
1086	2	1550
1087	3	7002
1088	2	1455
1089	2	1574
1090	2	4218
1091	1	6550
1092	2	2927
1093	2	3664
1094	3	6248
1095	1	3312
1096	2	7046
1097	2	5246
1098	2	6852
1099	2	4930
1100	2	6478
1101	2	3484
1102	2	4647
1103	2	4646
1104	2	4118
1105	2	3830
1106	3	4692
1107	2	1131
1108	3	3663
1109	3	3938
1110	2	6004
1111	2	5002
1112	2	2516
1113	2	7350
1114	2	7383
1115	2	2704
1116	2	4732
1117	2	1443
1118	3	7470
1119	1	1747
1120	2	6994
1121	2	3490
1122	2	1762
1123	2	5351
1124	1	6747
1125	3	7934
1126	3	4607
1127	2	4615
1128	2	4630
1129	3	4412
1130	2	7514
1131	2	1758
1132	3	4098
1133	2	1216
1134	2	6882
1135	2	6164
1136	2	5500
1137	3	5675
1138	2	3510
1139	1	4946
1140	2	5327
1141	2	2342
1142	4	6778
1143	2	3832
1144	2	3924
1145	2	5452
1146	2	3100
1147	3	8119
1148	4	7560
1149	2	3379
1150	1	3051
1151	2	6684
1152	3	6974
1153	2	8007
1154	3	6986
1155	3	1784
1156	2	3238
1157	1	2203
1158	2	4210
1159	2	3195
1160	2	4952
1161	2	1190
1162	3	2680
1163	3	2426
1164	3	7490
1165	3	5975
1166	1	2402
1167	5	4563
1168	2	2464
1169	2	5660
1170	3	4476
1171	2	7707
1172	4	3939
1173	2	4130
1174	2	1343
1175	2	2564
1176	2	3031
1177	2	5110
1178	3	2614
1179	2	3875
1180	2	5571
1181	3	6767
1182	3	3806
1183	2	3791
1184	3	3604
1185	2	3731
1186	2	4128
1187	2	7438
1188	3	7448
1189	2	4039
1190	2	3300
1191	2	4736
1192	2	5288
1193	3	5407
1194	2	4363
1195	2	4426
1196	2	1790
1197	3	4272
1198	3	5302
1198	3	5303
1199	2	6051
1200	3	4902
1200	3	4903
1201	4	8131
1202	2	4022
1203	2	7360
1204	2	1415
1205	3	6870
1206	2	2395
1207	2	2878
1208	2	3036
1209	3	7336
1210	2	2611
1211	3	5424
1212	3	7238
1213	3	7363
1214	3	8234
1214	3	8235
1215	2	1846
1216	2	4694
1217	2	7802
1218	2	4526
1219	2	7534
1220	2	6095
1221	2	4076
1222	2	8254
1223	2	3086
1224	3	4391
1225	4	3943
1226	3	7550
1227	3	6196
1228	2	2751
1229	2	5124
1230	3	7727
1231	2	3268
1232	3	7380
1233	2	4834
1234	2	3414
1235	3	7650
1236	3	8086
1236	3	8087
1237	3	5910
1238	2	5728
1239	3	7508
1240	4	6222
1241	2	5772
1242	2	4895
1243	1	6766
1244	2	4024
1245	2	2266
1246	3	3164
1247	3	3742
1248	2	4600
1249	3	8138
1250	3	1598
1250	3	1599
1251	1	2055
1252	3	6899
1253	2	6918
1254	2	3106
1255	3	6599
1256	4	5047
1257	3	3855
1258	3	7083
1259	3	3134
1260	2	2206
1261	4	7935
1262	3	4643
1263	3	1992
1264	2	1611
1265	2	1756
1266	2	6835
1267	2	4580
1268	2	1938
1269	3	4915
1270	2	1446
1271	3	5967
1272	3	8162
1273	2	5699
1274	2	4586
1275	2	1768
1276	2	3739
1277	3	6606
1278	1	1363
1279	3	5103
1280	2	6903
1281	2	4582
1282	2	4164
1283	3	2951
1284	3	6960
1285	4	7247
1286	2	3400
1287	2	4026
1288	2	4698
1289	2	5547
1290	4	7444
1291	2	1780
1292	2	2219
1293	2	5680
1294	2	2606
1295	3	3542
1296	2	5066
1297	2	5151
1298	2	2899
1299	3	7986
1299	3	7988
1300	2	6518
1301	2	6943
1302	2	1610
1303	3	6106
1304	2	4843
1305	2	5223
1306	2	7734
1307	2	4846
1308	2	2700
1309	3	7392
1310	2	4699
1311	2	4519
1312	2	4243
1313	2	3476
1314	3	6815
1315	2	6459
1316	1	3750
1317	2	1451
1318	2	7212
1319	4	7587
1320	2	3346
1321	4	6675
1322	3	4674
1323	2	3566
1324	2	1166
1325	2	6090
1326	2	5550
1327	3	6235
1328	2	7580
1329	4	4398
1330	2	3302
1331	3	7648
1332	2	4046
1333	2	7835
1334	2	2186
1335	2	2283
1336	3	7154
1337	3	7714
1338	2	5768
1339	2	3418
1340	3	6988
1341	2	2998
1342	3	6654
1343	3	7278
1344	2	3486
1345	4	6578
1346	2	8287
1347	3	3686
1348	2	8302
1349	2	2730
1350	2	5863
1351	2	5146
1352	2	1607
1353	2	3139
1354	2	3811
1355	2	4663
1356	3	7939
1357	3	4212
1358	2	5388
1359	2	1431
1360	2	4947
1361	3	4627
1362	3	7674
1363	2	6528
1364	3	3464
1365	2	4502
1366	2	6139
1367	2	2560
1368	3	5238
1369	2	6006
1370	3	7638
1371	3	5024
1372	2	2948
1373	1	1828
1374	2	3207
1375	2	5978
1376	2	3496
1377	2	4910
1378	1	2254
1379	2	3822
1380	2	2682
1381	3	6670
1382	2	3519
1383	2	2243
1384	2	7282
1384	2	7283
1385	2	7595
1386	3	6330
1387	1	3160
1388	2	3650
1389	2	6984
1390	1	7151
1391	2	1562
1392	2	5615
1393	2	6443
1394	2	7148
1395	3	2718
1396	2	1791
1397	2	2303
1398	2	5731
1399	1	2740
1400	2	5295
1401	2	2924
1402	2	2603
1403	2	1839
1404	2	3074
1405	2	4866
1406	2	5106
1407	3	2987
1408	3	5927
1409	3	3479
1410	2	3846
1411	3	6590
1412	2	6672
1413	3	3083
1414	2	6052
1415	2	5290
1416	3	5070
1417	2	6224
1418	2	3376
1419	2	3450
1420	2	5143
1421	2	8112
1422	1	3956
1423	3	6042
1424	2	7143
1425	3	4016
1426	3	4260
1427	2	962
1428	2	6450
1429	2	6372
1430	2	4364
1431	2	3831
1432	4	6430
1433	3	6630
1434	4	7146
1435	2	6587
1436	2	2558
1437	3	7624
1438	2	5911
1439	3	5579
1440	3	5508
1441	2	3792
1442	2	4687
1443	3	5844
1444	2	2235
1445	1	3890
1446	2	5644
1447	3	1536
1448	3	5172
1449	2	1688
1450	2	3552
1451	2	1407
1452	2	7284
1453	2	4163
1454	2	7566
1455	2	4500
1456	3	6079
1457	2	4123
1458	3	7306
1459	4	7206
1460	2	1426
1461	2	7156
1462	1	4971
1463	2	2327
1464	3	4460
1465	2	3279
1466	2	2051
1467	2	4655
1468	2	5866
1468	2	5867
1469	3	6758
1469	3	6759
1470	3	6770
1471	2	3907
1472	2	1104
1473	3	7186
1473	3	7188
1474	3	6563
1475	3	5614
1476	2	4167
1477	2	2063
1478	3	7507
1478	3	7516
1479	2	5747
1480	2	1984
1481	2	5719
1482	2	5580
1483	1	1735
1484	2	2739
1485	3	6674
1486	5	7355
1487	2	2362
1488	2	1403
1489	4	7432
1490	3	4939
1491	3	2846
1491	3	2847
1492	3	7358
1493	2	3266
1494	2	7316
1495	3	4670
1496	2	6995
1497	3	8188
1498	2	4246
1499	2	6056
1500	3	5444
1501	1	3432
1502	1	2555
1503	3	5476
1504	2	4435
1505	2	7754
1506	2	5086
1507	2	2227
1508	3	5994
1509	2	4418
1510	2	6791
1511	2	1222
1512	2	3970
1513	3	4831
1514	2	2127
1515	2	4720
1516	2	4726
1517	1	4658
1518	1	3318
1519	2	6463
1520	2	6208
1521	4	7296
1522	4	6872
1523	2	3408
1524	3	3543
1525	3	5983
1526	2	5611
1527	2	1907
1528	2	5431
1529	2	2026
1530	2	3567
1531	2	4004
1532	4	7378
1533	2	4867
1534	2	5199
1535	3	2906
1536	2	3375
1537	2	2288
1538	2	5540
1539	2	6038
1540	2	3975
1541	2	4748
1542	2	1866
1543	2	6906
1544	3	1650
1545	2	5839
1546	2	5391
1547	1	5848
1548	3	5722
1548	3	5723
1549	2	6551
1550	3	3848
1551	2	4160
1552	2	6856
1553	1	4638
1554	2	5419
1555	2	4604
1556	2	4651
1557	2	2390
1558	2	6998
1558	2	7000
1559	2	3422
1560	2	3940
1561	2	2366
1562	2	2534
1563	1	1774
1564	1	3623
1565	3	5179
1566	3	3891
1567	2	1990
1568	4	7195
1569	2	1462
1570	2	4584
1571	3	6603
1572	1	2354
1573	2	3363
1574	2	1714
1575	3	5902
1575	3	5904
1576	3	7887
1577	3	4554
1578	3	8106
1578	3	8107
1579	3	2686
1579	3	2687
1580	3	7275
1581	2	4403
1582	3	7383
1583	3	8011
1584	2	2450
1585	3	5892
1586	3	5668
1587	2	3588
1588	2	6848
1589	3	3703
1590	3	4102
1591	2	2858
1592	2	4927
1593	2	1207
1594	2	1956
1595	2	8123
1596	3	7160
1597	2	8040
1598	2	3454
1599	3	3826
1600	3	3659
1601	2	4911
1602	2	2624
1603	1	1891
1604	3	7698
1604	3	7700
1605	1	2239
1606	1	2238
1607	3	2890
1608	2	7832
1609	2	6302
1610	3	6084
1611	3	6007
1612	4	5932
1613	3	7563
1614	2	2383
1615	2	3406
1616	2	3810
1617	2	1548
1618	2	1158
1619	3	6062
1620	2	1663
1621	2	7060
1622	2	5808
1623	3	6343
1624	3	6475
1625	3	5710
1626	2	2184
1627	3	7943
1628	3	5364
1629	1	3724
1630	1	3839
1631	3	6667
1632	2	2466
1633	2	5120
1634	2	4306
1635	3	5062
1636	3	7136
1637	1	4142
1638	3	7923
1639	3	4958
1640	2	5683
1641	2	2759
1642	3	7272
1643	3	6451
1644	2	1994
1645	2	2514
1646	2	1931
1647	1	1698
1648	2	1482
1649	2	2971
1650	2	3460
1651	4	7259
1652	3	4155
1653	2	5056
1654	1	1895
1655	2	7434
1656	1	6664
1657	3	5630
1657	3	5631
1658	2	3090
1659	2	3574
1660	2	3002
1661	2	3290
1662	2	4294
1663	2	7291
1664	1	2515
1665	2	1996
1666	2	3610
1667	2	4182
1668	2	4276
1669	1	2762
1670	2	3204
1671	4	7532
1672	2	7039
1673	3	4175
1674	3	7518
1675	1	1583
1676	2	4711
1677	2	2275
1678	2	5490
1679	3	6124
1680	3	6611
1681	2	5272
1682	2	4434
1683	3	5263
1684	2	7286
1685	2	3468
1686	2	1018
1687	2	2540
1688	2	7115
1689	2	2848
1690	2	2866
1691	2	1459
1692	2	1248
1693	1	1850
1694	2	1019
1695	2	4766
1696	2	2384
1697	3	7262
1698	3	4446
1699	3	5656
1700	3	7243
1701	3	5294
1702	3	7510
1703	3	3527
1704	1	3784
1705	1	1939
1706	1	4454
1707	2	4908
1708	2	4071
1709	2	4239
1710	3	7335
1711	2	7199
1712	3	7619
1713	2	6659
1714	2	5243
1715	2	7242
1716	3	6919
1717	2	1518
1718	4	6482
1719	2	1954
1720	3	3783
1721	2	5226
1722	3	3535
1723	3	1544
1724	4	6178
1725	3	5619
1726	2	7531
1727	1	3872
1728	2	4034
1729	2	3562
1730	2	1798
1731	2	2499
1732	3	7675
1733	3	7326
1734	2	4400
1735	1	3622
1735	1	3624
1736	1	1538
1737	1	2270
1738	2	7323
1739	2	4014
1740	2	4180
1741	3	6023
1742	2	6807
1743	2	6144
1744	2	4702
1745	1	3075
1746	3	6034
1747	2	3920
1748	3	3824
1749	3	7374
1749	3	7375
1750	4	2874
1751	4	6534
1752	2	1243
1753	2	4315
1754	2	7342
1755	2	4346
1755	2	4347
1756	3	7452
1757	2	4928
1758	3	5382
1759	2	5520
1760	2	3323
1761	2	7266
1762	2	7240
1763	1	4332
1764	3	4850
1765	1	5559
1766	1	3767
1767	2	7027
1768	4	5976
1769	3	2698
1769	3	2699
1770	2	6500
1771	2	1068
1772	2	7096
1773	2	3403
1774	2	3256
1775	3	6324
1776	2	3787
1777	3	5315
1778	2	6444
1779	3	7010
1780	3	5988
1781	1	5350
1782	2	2451
1783	3	5623
1784	2	3999
1785	3	7003
1786	1	2644
1787	3	7655
1788	2	4198
1789	2	6787
1790	3	4075
1791	2	3316
1792	3	4432
1793	2	3146
1794	2	3948
1795	3	3390
1796	3	5274
1796	3	5275
1796	3	5276
1797	4	2938
1798	2	2604
1799	1	2839
1800	2	2918
1801	3	4068
1802	3	7414
