Scan_Number_Start	Scan_Number_End	Charge	Quality_Score	Precursor_MZ	BPI
187	187	3	1	931.6529	0
188	188	2	1	915.5822	0
188	188	3	1	915.5821	0
189	189	2	1	915.5822	0
189	189	3	1	915.5821	0
191	191	2	1	1379.4745	0
191	191	3	1	1379.4746	0
192	192	2	1	1379.4745	0
192	192	3	1	1379.4746	0
194	194	2	1	1343.9692	0
194	194	3	1	1343.9692	0
195	195	2	1	1343.9692	0
195	195	3	1	1343.9692	0
196	196	2	1	1148.5635	0
196	196	3	1	1148.5634	0
197	197	2	1	1148.5635	0
197	197	3	1	1148.5634	0
198	198	2	1	1133.0814	0
198	198	3	1	1133.0814	0
199	199	2	1	1133.0814	0
199	199	3	1	1133.0814	0
200	200	2	1	1253.5417	0
200	200	3	1	1253.5417	0
201	201	2	1	1253.5417	0
201	201	3	1	1253.5417	0
202	202	2	1	755.7993	0
202	202	3	1	755.7993	0
203	203	2	1	755.7993	0
203	203	3	1	755.7993	0
205	205	2	1	919.6231	0
205	205	3	1	919.6231	0
206	206	2	1	919.6231	0
206	206	3	1	919.6231	0
207	207	2	1	1055.5795	0
207	207	3	1	1055.5795	0
208	208	2	1	1055.5795	0
208	208	3	1	1055.5795	0
209	209	2	1	912.6303	0
209	209	3	1	912.6303	0
210	210	2	1	912.6303	0
210	210	3	1	912.6303	0
212	212	2	1	1227.5322	0
212	212	3	1	1227.5322	0
213	213	2	1	1227.5322	0
213	213	3	1	1227.5322	0
214	214	2	1	441.8579	0
214	214	3	1	441.8579	0
215	215	2	1	441.8579	0
215	215	3	1	441.8579	0
220	220	2	1	1381.4647	0
220	220	3	1	1381.4646	0
221	221	2	1	1381.4647	0
221	221	3	1	1381.4646	0
222	222	2	1	1108.561	0
222	222	3	1	1108.561	0
223	223	2	1	1108.561	0
223	223	3	1	1108.561	0
224	224	2	1	909.5737	0
224	224	3	1	909.5737	0
225	225	2	1	909.5737	0
225	225	3	1	909.5737	0
226	226	2	1	1309.4272	0
226	226	3	1	1309.4272	0
227	227	2	1	1309.4272	0
227	227	3	1	1309.4272	0
229	229	2	1	1005.0645	0
229	229	3	1	1005.0645	0
230	230	2	1	1005.0645	0
230	230	3	1	1005.0645	0
232	232	2	1	907.6362	0
232	232	3	1	907.6362	0
233	233	2	1	907.6362	0
233	233	3	1	907.6362	0
234	234	2	1	1147.5414	0
234	234	3	1	1147.5414	0
235	235	2	1	1147.5414	0
235	235	3	1	1147.5414	0
237	237	2	1	1341.5624	0
237	237	3	1	1341.5624	0
238	238	2	1	1124.7554	0
238	238	3	1	1124.7554	0
241	241	2	1	1171.574	0
241	241	3	1	1171.5739	0
242	242	2	1	1171.574	0
242	242	3	1	1171.5739	0
243	243	2	1	1163.4855	0
243	243	3	1	1163.4855	0
244	244	2	1	1163.4855	0
244	244	3	1	1163.4855	0
246	246	2	1	801.1807	0
246	246	3	1	801.1807	0
247	247	2	1	801.1807	0
247	247	3	1	801.1807	0
248	248	2	1	1130.5919	0
248	248	3	1	1130.5919	0
249	249	2	1	1130.5919	0
249	249	3	1	1130.5919	0
251	251	2	1	937.0621	0
251	251	3	1	937.0621	0
252	252	2	1	937.0621	0
252	252	3	1	937.0621	0
253	253	2	1	1360.4039	0
253	253	3	1	1360.4039	0
255	255	2	1	1244.0284	0
255	255	3	1	1244.0284	0
256	256	2	1	1244.0284	0
256	256	3	1	1244.0284	0
258	258	2	1	1493.3931	0
258	258	3	1	1493.3931	0
259	259	2	1	1398.4268	0
259	259	3	1	1398.4268	0
260	260	2	1	1398.4268	0
260	260	3	1	1398.4268	0
261	261	2	1	1265.4714	0
261	261	3	1	1265.4714	0
262	262	2	1	1265.4714	0
262	262	3	1	1265.4714	0
264	264	2	1	1171.0458	0
264	264	3	1	1171.0458	0
265	265	2	1	1171.0458	0
265	265	3	1	1171.0458	0
266	266	2	1	1046.647	0
266	266	3	1	1046.647	0
267	267	2	1	1046.647	0
267	267	3	1	1046.647	0
268	268	2	1	1348.4342	0
268	268	3	1	1348.4342	0
269	269	2	1	1348.4342	0
269	269	3	1	1348.4342	0
271	271	2	1	1175.0458	0
271	271	3	1	1175.0457	0
272	272	2	1	1175.0458	0
272	272	3	1	1175.0457	0
275	275	2	1	1015.5865	0
275	275	3	1	1015.5865	0
276	276	2	1	1015.5865	0
276	276	3	1	1015.5865	0
277	277	2	1	931.1021	0
277	277	3	1	931.1021	0
278	278	2	1	931.1021	0
278	278	3	1	931.1021	0
279	279	2	1	1286.666	0
279	279	3	1	1286.666	0
281	281	1	1	607.2117	0
282	282	1	1	607.2117	0
284	284	2	1	1168.0497	0
284	284	3	1	1168.0496	0
285	285	2	1	1168.0497	0
285	285	3	1	1168.0496	0
286	286	2	1	767.7939	0
286	286	3	1	767.7939	0
287	287	2	1	767.7939	0
287	287	3	1	767.7939	0
288	288	2	1	1241.4296	0
288	288	3	1	1241.4296	0
289	289	2	1	1241.4296	0
289	289	3	1	1241.4296	0
291	291	2	1	674.9632	0
291	291	3	1	674.9632	0
292	292	2	1	674.9632	0
292	292	3	1	674.9632	0
293	293	2	1	1150.5444	0
293	293	3	1	1150.5444	0
294	294	2	1	1150.5444	0
294	294	3	1	1150.5444	0
295	295	2	1	1201.0487	0
295	295	3	1	1201.0487	0
296	296	2	1	1201.0487	0
296	296	3	1	1201.0487	0
299	299	2	1	1439.3918	0
299	299	3	1	1439.3917	0
300	300	2	1	1439.3918	0
300	300	3	1	1439.3917	0
302	302	2	1	1241.0066	0
302	302	3	1	1241.0066	0
303	303	2	1	1241.0066	0
303	303	3	1	1241.0066	0
305	305	1	1	815.2173	0
306	306	1	1	815.2173	0
307	307	2	1	1067.5576	0
307	307	3	1	1067.5576	0
308	308	2	1	1067.5576	0
308	308	3	1	1067.5576	0
309	309	2	1	637.0944	0
309	309	3	1	637.0944	0
310	310	2	1	637.0944	0
310	310	3	1	637.0944	0
312	312	2	1	725.1678	0
312	312	3	1	725.1678	0
313	313	2	1	725.1678	0
313	313	3	1	725.1678	0
315	315	2	1	1331.9874	0
315	315	3	1	1331.9874	0
316	316	2	1	1331.9874	0
316	316	3	1	1331.9874	0
317	317	1	1	889.2364	0
318	318	1	1	889.2364	0
319	319	2	1	1157.0029	0
319	319	3	1	1157.0029	0
320	320	2	1	1157.0029	0
320	320	3	1	1157.0029	0
321	321	2	1	394.9191	0
321	321	3	1	394.9191	0
323	323	2	1	1322.009	0
323	323	3	1	1322.009	0
324	324	2	1	1322.009	0
324	324	3	1	1322.009	0
326	326	2	1	701.7073	0
326	326	3	1	701.7073	0
327	327	2	1	701.7073	0
327	327	3	1	701.7073	0
329	329	2	1	1259.5104	0
329	329	3	1	1259.5104	0
330	330	2	1	1259.5104	0
330	330	3	1	1259.5104	0
334	334	2	1	1278.6157	0
334	334	3	1	1278.6157	0
336	336	2	1	1089.5127	0
336	336	3	1	1089.5127	0
337	337	2	1	1089.5127	0
337	337	3	1	1089.5127	0
339	339	2	1	1218.524	0
339	339	3	1	1218.5239	0
340	340	2	1	1218.524	0
340	340	3	1	1218.5239	0
342	342	2	1	1187.0178	0
342	342	3	1	1187.0178	0
343	343	2	1	1187.0178	0
343	343	3	1	1187.0178	0
344	344	2	1	907.2646	0
344	344	3	1	907.2646	0
345	345	2	1	907.2646	0
345	345	3	1	907.2646	0
346	346	2	1	842.6277	0
346	346	3	1	842.6277	0
347	347	2	1	842.6277	0
347	347	3	1	842.6277	0
349	349	2	1	1029.5455	0
349	349	3	1	1029.5454	0
350	350	2	1	1029.5455	0
350	350	3	1	1029.5454	0
352	352	2	1	1055.0454	0
352	352	3	1	1055.0454	0
353	353	2	1	1055.0454	0
353	353	3	1	1055.0454	0
356	356	1	1	1366.4159	0
357	357	1	1	1366.4159	0
360	360	2	1	1008.7908	0
361	361	2	1	1008.7908	0
363	363	2	1	366.8008	0
363	363	3	1	366.8008	0
364	364	2	1	366.8008	0
364	364	3	1	366.8008	0
365	365	2	1	934.7708	0
366	366	2	1	934.7708	0
367	367	1	1	1174.3573	0
368	368	1	1	1174.3572	0
369	369	2	1	988.8083	0
370	370	2	1	988.8083	0
371	371	2	1	1313.8782	0
371	371	3	1	1313.8782	0
372	372	2	1	1313.8782	0
372	372	3	1	1313.8782	0
373	373	2	1	679.3853	0
373	373	3	1	679.3853	0
374	374	2	1	679.3853	0
374	374	3	1	679.3853	0
375	375	2	1	1432.9205	0
375	375	3	1	1432.9205	0
376	376	2	1	1432.9205	0
376	376	3	1	1432.9205	0
378	378	2	1	823.7426	0
378	378	3	1	823.7426	0
379	379	2	1	823.7426	0
379	379	3	1	823.7426	0
380	380	2	1	1526.9265	0
380	380	3	1	1526.9265	0
381	381	2	1	1526.9265	0
381	381	3	1	1526.9265	0
382	382	2	1	1469.9496	0
382	382	3	1	1469.9495	0
383	383	2	1	1469.9496	0
383	383	3	1	1469.9495	0
384	384	2	1	928.2571	0
384	384	3	1	928.2571	0
385	385	2	1	928.2571	0
385	385	3	1	928.2571	0
386	386	2	1	841.7595	0
386	386	3	1	841.7595	0
387	387	2	1	841.7595	0
387	387	3	1	841.7595	0
388	388	2	1	1003.2656	0
388	388	3	1	1003.2656	0
389	389	2	1	1003.2656	0
389	389	3	1	1003.2656	0
391	391	2	1	977.5887	0
391	391	3	1	977.5887	0
392	392	2	1	977.5887	0
392	392	3	1	977.5887	0
393	393	1	1	784.7818	0
394	394	1	1	784.7818	0
396	396	2	1	1006.0233	0
396	396	3	1	1006.0231	0
398	398	2	1	997.6012	0
398	398	3	1	997.6011	0
399	399	2	1	997.6012	0
399	399	3	1	997.6011	0
401	401	2	1	1216.0166	0
401	401	3	1	1216.0166	0
402	402	2	1	1216.0166	0
402	402	3	1	1216.0166	0
404	404	2	1	1183.5522	0
404	404	3	1	1183.5522	0
405	405	2	1	1183.5522	0
405	405	3	1	1183.5522	0
406	406	2	1	1315.4413	0
406	406	3	1	1315.4413	0
407	407	2	1	1315.4413	0
407	407	3	1	1315.4413	0
408	408	2	1	1384.4176	0
408	408	3	1	1384.4176	0
409	409	2	1	1384.4176	0
409	409	3	1	1384.4176	0
412	412	2	1	1251.944	0
412	412	3	1	1251.944	0
413	413	2	1	1251.944	0
413	413	3	1	1251.944	0
414	414	2	1	1308.944	0
414	414	3	1	1308.944	0
415	415	2	1	1308.944	0
415	415	3	1	1308.944	0
416	416	2	1	1277.5281	0
416	416	3	1	1277.5281	0
417	417	2	1	1277.5281	0
417	417	3	1	1277.5281	0
418	418	2	1	1255.4945	0
418	418	3	1	1255.4945	0
419	419	2	1	1255.4945	0
419	419	3	1	1255.4945	0
421	421	2	1	1158.5028	0
421	421	3	1	1158.5028	0
422	422	2	1	1158.5028	0
422	422	3	1	1158.5028	0
423	423	2	1	1002.5767	0
423	423	3	1	1002.5767	0
424	424	2	1	1002.5767	0
424	424	3	1	1002.5767	0
426	426	1	1	654.146	0
427	427	2	1	654.1462	0
427	427	3	1	654.1462	0
429	429	2	1	1149.0594	0
429	429	3	1	1149.0593	0
430	430	2	1	1149.0594	0
430	430	3	1	1149.0593	0
431	431	2	1	883.2016	0
431	431	3	1	883.2016	0
432	432	2	1	883.2016	0
432	432	3	1	883.2016	0
433	433	2	1	1239.4792	0
433	433	3	1	1239.4792	0
434	434	2	1	1239.4792	0
434	434	3	1	1239.4792	0
436	436	2	1	1082.5591	0
436	436	3	1	1082.559	0
437	437	2	1	1082.5591	0
437	437	3	1	1082.559	0
438	438	2	1	1245.4711	0
438	438	3	1	1245.4711	0
439	439	2	1	1245.4711	0
439	439	3	1	1245.4711	0
440	440	2	1	1208.0063	0
440	440	3	1	1208.0062	0
441	441	2	1	1208.0063	0
441	441	3	1	1208.0062	0
443	443	2	1	1146.639	0
443	443	3	1	1146.6389	0
444	444	2	1	1146.639	0
444	444	3	1	1146.6389	0
447	447	2	1	1350.4919	0
447	447	3	1	1350.4919	0
448	448	2	1	1350.4919	0
448	448	3	1	1350.4919	0
449	449	2	1	758.2273	0
449	449	3	1	758.2272	0
450	450	2	1	758.2273	0
450	450	3	1	758.2272	0
452	452	2	1	760.7178	0
452	452	3	1	760.7178	0
453	453	2	1	760.7178	0
453	453	3	1	760.7178	0
455	455	2	1	1071.5602	0
455	455	3	1	1071.5602	0
456	456	2	1	1071.5602	0
456	456	3	1	1071.5602	0
457	457	2	1	1023.6071	0
457	457	3	1	1023.6071	0
458	458	2	1	1023.6071	0
458	458	3	1	1023.6071	0
460	460	2	1	1147.0687	0
460	460	3	1	1147.0687	0
461	461	2	1	1147.0687	0
461	461	3	1	1147.0687	0
462	462	2	1	1193.5516	0
462	462	3	1	1193.5516	0
463	463	2	1	1193.5516	0
463	463	3	1	1193.5516	0
465	465	2	1	1252.4667	0
465	465	3	1	1252.4667	0
466	466	2	1	1252.4667	0
466	466	3	1	1252.4667	0
467	467	2	1	1198.0593	0
467	467	3	1	1198.0593	0
468	468	2	1	1198.0593	0
468	468	3	1	1198.0593	0
469	469	2	1	1324.975	0
469	469	3	1	1324.9749	0
470	470	2	1	1324.975	0
470	470	3	1	1324.9749	0
471	471	2	1	1297.5168	0
471	471	3	1	1297.5168	0
472	472	2	1	1297.5168	0
472	472	3	1	1297.5168	0
474	474	2	1	1255.5161	0
474	474	3	1	1255.5161	0
475	475	2	1	1255.5161	0
475	475	3	1	1255.5161	0
477	477	2	1	1244.9398	0
477	477	3	1	1244.9398	0
478	478	2	1	1244.9398	0
478	478	3	1	1244.9398	0
479	479	2	1	1206.5322	0
479	479	3	1	1206.5322	0
480	480	2	1	1206.5322	0
480	480	3	1	1206.5322	0
482	482	2	1	1325.5234	0
482	482	3	1	1325.5234	0
483	483	2	1	1325.5234	0
483	483	3	1	1325.5234	0
484	484	2	1	1348.4089	0
484	484	3	1	1348.4089	0
485	485	2	1	1348.4089	0
485	485	3	1	1348.4089	0
486	486	2	1	989.5847	0
486	486	3	1	989.5847	0
487	487	2	1	989.5847	0
487	487	3	1	989.5847	0
489	489	2	1	1338.4343	0
489	489	3	1	1338.4343	0
490	490	2	1	1338.4343	0
490	490	3	1	1338.4343	0
491	491	2	1	990.5969	0
491	491	3	1	990.5969	0
492	492	2	1	990.5969	0
492	492	3	1	990.5969	0
493	493	2	1	1334.9509	0
493	493	3	1	1334.9509	0
494	494	2	1	1334.9509	0
494	494	3	1	1334.9509	0
496	496	2	1	935.1002	0
496	496	3	1	935.1002	0
497	497	2	1	935.1002	0
497	497	3	1	935.1002	0
499	499	2	1	987.6443	0
499	499	3	1	987.6443	0
500	500	2	1	987.6443	0
500	500	3	1	987.6443	0
502	502	2	1	832.2438	0
502	502	3	1	832.2438	0
503	503	2	1	832.2438	0
503	503	3	1	832.2438	0
504	504	2	1	888.6329	0
504	504	3	1	888.6329	0
505	505	2	1	888.6329	0
505	505	3	1	888.6329	0
507	507	2	1	1261.4415	0
507	507	3	1	1261.4415	0
508	508	2	1	1261.4415	0
508	508	3	1	1261.4415	0
509	509	2	1	825.8099	0
509	509	3	1	825.8099	0
510	510	2	1	825.8099	0
510	510	3	1	825.8099	0
511	511	2	1	1203.4905	0
511	511	3	1	1203.4905	0
512	512	2	1	1203.4905	0
512	512	3	1	1203.4905	0
513	513	2	1	1381.9191	0
513	513	3	1	1381.9191	0
514	514	2	1	1381.9191	0
514	514	3	1	1381.9191	0
517	517	2	1	982.6198	0
517	517	3	1	982.6198	0
518	518	2	1	982.6198	0
518	518	3	1	982.6198	0
519	519	2	1	1260.5292	0
519	519	3	1	1260.5292	0
520	520	2	1	1260.5292	0
520	520	3	1	1260.5292	0
522	522	2	1	1112.488	0
522	522	3	1	1112.488	0
523	523	2	1	1112.488	0
523	523	3	1	1112.488	0
524	524	2	1	1247.4664	0
524	524	3	1	1247.4664	0
525	525	2	1	1247.4664	0
525	525	3	1	1247.4664	0
526	526	2	1	1149.9188	0
526	526	3	1	1149.9188	0
527	527	2	1	1149.9188	0
527	527	3	1	1149.9188	0
528	528	1	1	741.1994	0
529	529	1	1	741.1994	0
532	532	2	1	952.1132	0
532	532	3	1	952.1132	0
533	533	2	1	952.1132	0
533	533	3	1	952.1132	0
535	535	2	1	1161.0645	0
535	535	3	1	1161.0645	0
536	536	2	1	1161.0645	0
536	536	3	1	1161.0645	0
538	538	2	1	405.3011	0
539	539	2	1	405.3011	0
540	540	2	1	1160.5033	0
540	540	3	1	1160.5033	0
541	541	2	1	1160.5033	0
541	541	3	1	1160.5033	0
542	542	2	1	1347.4791	0
542	542	3	1	1347.4791	0
543	543	2	1	1347.4791	0
543	543	3	1	1347.4791	0
544	544	2	1	1282.9916	0
544	544	3	1	1282.9916	0
545	545	2	1	1282.9916	0
545	545	3	1	1282.9916	0
546	546	2	1	1242.5111	0
546	546	3	1	1242.5111	0
547	547	2	1	1242.5111	0
547	547	3	1	1242.5111	0
548	548	1	1	686.2043	0
549	549	1	1	686.2043	0
551	551	2	1	888.5781	0
551	551	3	1	888.5781	0
552	552	2	1	888.5781	0
552	552	3	1	888.5781	0
553	553	2	1	419.317	0
554	554	2	1	419.317	0
556	556	1	1	815.2173	0
557	557	1	1	815.2173	0
559	559	2	1	1098.0524	0
559	559	3	1	1098.0524	0
560	560	2	1	1098.0524	0
560	560	3	1	1098.0524	0
561	561	2	1	762.2192	0
561	561	3	1	762.2192	0
562	562	2	1	762.2192	0
562	562	3	1	762.2192	0
564	564	1	1	705.8072	0
565	565	1	1	705.8072	0
566	566	2	1	1264.4658	0
566	566	3	1	1264.4658	0
567	567	2	1	1264.4658	0
567	567	3	1	1264.4658	0
569	569	2	1	1314.5591	0
569	569	3	1	1314.5591	0
570	570	2	1	1314.5591	0
570	570	3	1	1314.5591	0
571	571	2	1	1378.3717	0
571	571	3	1	1378.3717	0
572	572	2	1	1378.3717	0
572	572	3	1	1378.3717	0
573	573	2	1	1345.4558	0
573	573	3	1	1345.4558	0
574	574	2	1	1345.4558	0
574	574	3	1	1345.4558	0
576	576	1	1	686.2047	0
577	577	1	1	686.2047	0
578	578	2	1	1093.5304	0
578	578	3	1	1093.5304	0
579	579	2	1	1093.5304	0
579	579	3	1	1093.5304	0
581	581	2	1	1111.5765	0
581	581	3	1	1111.5764	0
582	582	2	1	1111.5765	0
582	582	3	1	1111.5764	0
584	584	2	1	1327.9421	0
584	584	3	1	1327.9421	0
585	585	2	1	1327.9421	0
585	585	3	1	1327.9421	0
587	587	2	1	1184.5458	0
587	587	3	1	1184.5458	0
588	588	2	1	1184.5458	0
588	588	3	1	1184.5458	0
589	589	2	1	1181.4088	0
589	589	3	1	1181.4088	0
590	590	2	1	1181.4088	0
590	590	3	1	1181.4088	0
591	591	2	1	1374.4669	0
591	591	3	1	1374.4669	0
592	592	2	1	1374.4669	0
592	592	3	1	1374.4669	0
594	594	2	1	1091.5408	0
594	594	3	1	1091.5408	0
595	595	2	1	1091.5408	0
595	595	3	1	1091.5408	0
596	596	2	1	1178.5291	0
596	596	3	1	1178.5291	0
597	597	2	1	1178.5291	0
597	597	3	1	1178.5291	0
598	598	2	1	1128.5889	0
598	598	3	1	1128.5889	0
599	599	2	1	1128.5889	0
599	599	3	1	1128.5889	0
601	601	1	1	401.8798	0
602	602	1	1	401.8798	0
605	605	2	1	1182.5375	0
605	605	3	1	1182.5375	0
606	606	2	1	1182.5375	0
606	606	3	1	1182.5375	0
607	607	2	1	761.2225	0
607	607	3	1	761.2225	0
608	608	2	1	761.2225	0
608	608	3	1	761.2225	0
610	610	1	1	781.7831	0
611	611	1	1	781.7831	0
612	612	2	1	1061.0957	0
